id,name,description,category,therapeuticArea,prevalence,unmetNeedIndex,keyUnmetNeeds,wikipediaUrl,medlineUrl,opentargetsUrl,omimUrl,nordUrl,clinicalTrialsUrl,leadingPagWebsiteUs,keyCompanies,guidelineDrugs,pipelineActivity,scores.burdenUntreated,scores.burdenTreated,scores.safetyTolerability,scores.convenienceAdministration
migraine-with-aura,Migraine | with aura,"Migraine with aura features gradually developing, reversible visual or sensory symptoms lasting 5 to 60 minutes followed by headache with nausea and sensitivity to light and sound, disproportionately affecting women. Aura is thought to reflect cortical spreading depression. Key unmet needs include therapies proven to abort or shorten aura, nonvasoconstrictive acute options for patients with cardiovascular contraindications to triptans, and better tolerated, more reliably effective preventive treatments given discontinuations with topiramate and incomplete early response to calcitonin gene related peptide monoclonal antibodies.",Neurology,Neurology,Common,4.313,"- Acute therapy taken at aura onset to abort/reduce aura symptoms (including aura-without-headache) and prevent progression to headache.
- Non‑vasoconstrictive acute option with triptan‑like 2‑hour outcomes for patients with CV/CVA contraindications to triptans.
- Preventive with topiramate‑class efficacy but much better tolerability/persistence, and efficacy in the ~15–25% who don’t respond to anti‑CGRP mAbs.",https://en.wikipedia.org/wiki/Migraine,https://medlineplus.gov/migraine.html,https://platform.opentargets.org/disease/MONDO_0005475,https://www.omim.org/entry/609179,https://rarediseases.org/mondo-disease/migraine-with-aura/,https://clinicaltrials.gov/search?cond=%22Migraine%20with%20aura%22,https://headaches.org/,[object Object],[object Object],7,3,3,4,3
dry-eye-disease,Dry eye disease,"Dry eye disease is a multifactorial ocular surface disorder caused by loss of tear film homeostasis, where tear film instability and hyperosmolarity drive a vicious cycle of inflammation, surface damage, and neurosensory dysfunction. Patients experience gritty burning discomfort, photophobia, blurred vision, and sometimes paradoxical tearing, often in older adults and post menopausal women. The condition spans aqueous deficient and evaporative forms, frequently linked to meibomian gland dysfunction, and some patients have neuropathic pain with few objective signs. Current management is largely chronic and symptomatic with limited high quality evidence, creating demand for therapies that restore meibomian lipid biology, improve pain control, and reduce daily treatment burden.",Ophthalmology,Ophthalmology,Common,3.605,"- Disease-modifying therapies that restore meibomian gland/lipid-layer function for evaporative/MGD-driven DED.
- Treatments targeting neuropathic ocular pain (“symptoms ≫ signs”) phenotypes.
- Better-tolerated, lower-burden chronic therapy (less frequent dosing; fewer local AEs like burning/dysgeusia/sneezing) to reduce drop fatigue.",https://en.wikipedia.org/wiki/Dry_eye_syndrome,https://medlineplus.gov/ency/article/000426.htm,https://platform.opentargets.org/disease/EFO_1000906,https://www.omim.org/entry/270150,,https://clinicaltrials.gov/search?cond=Dry%20Eye%20Disease,https://www.dryeyefoundation.org/,[object Object],[object Object],5,3,2,3,4
hypertrophic-scar,Hypertrophic scar,"Hypertrophic scars are an excessive collagen response after acute skin injury that forms thick, firm, raised red scars confined to the original wound, often starting within weeks and causing itch, pain, and sometimes contractures with major quality of life impact. Current care is burdensome and inconsistent in the real world, relying on months of near continuous silicone or pressure therapy and often painful steroid injections with local side effects. Surgical or laser revision can recur, sometimes worse, creating unmet need for better prevention, more tolerable treatments, and durable post procedure recurrence control.",Dermatology,Dermatology,Common,3.171,"- True prophylaxis in fresh high-risk wounds (burns/surgical incisions) to prevent hypertrophic scar formation without months-long wear-time regimens
- Post–scar-revision adjuvant therapy to prevent recurrence over ~6–12 months (e.g., improved POSAS/VSS outcomes) versus high regrowth after excision
- Non-steroid, low-pain therapies that reduce itch/pain and improve ROM (esp. scars over joints) while avoiding intralesional steroid injection pain and local AEs",https://en.wikipedia.org/wiki/Hypertrophic_scar,https://medlineplus.gov/scars.html,https://platform.opentargets.org/disease/EFO_1000759,https://omim.org/entry/148100,,https://clinicaltrials.gov/search?cond=%22Hypertrophic%20scar%22,,[object Object],[object Object],7,2,1,3,4
long-covid,Long COVID,"Long COVID is a complex multisystem disorder after SARS-CoV-2 infection, with symptoms starting within 3 months and lasting at least 2 months, often dominated by fatigue, breathlessness, pain and cognitive dysfunction, and clusters like autonomic dysfunction and post-exertional malaise with delayed crashes. With no approved tests or specific treatments and limited evidence for disease-level pharmacologic options, care is largely symptom-based, leaving a major unmet need for mechanism-targeted, endotype-aware therapies that deliver sustained functional recovery rather than incremental symptom control.",Infectious disease,Infectious disease,Common,3.951,"- Biomarker-stratified disease-modifying therapy targeting root-cause endotypes (e.g., viral persistence) with sustained functional/QoL improvement.
- Targeted pharmacotherapy for the dysautonomia/POTS phenotype improving orthostatic intolerance symptom scores and stand/HR physiologic measures.
- PEM-focused therapy reducing delayed post-exertional symptom crashes (12–48h; days–weeks) while increasing safe functional capacity.",https://en.wikipedia.org/wiki/Long_COVID,https://medlineplus.gov/postcovidconditionslongcovid.html,https://platform.opentargets.org/disease/MONDO_0100233,,https://rarediseases.org/covid-19-rare-disease/,https://clinicaltrials.gov/search?cond=Long%20COVID,https://www.longhauler-advocacy.org/,[object Object],,5,3,3,3,4
arteriosclerosis-obliterans,Arteriosclerosis obliterans,"Arteriosclerosis obliterans is lower extremity peripheral artery disease where narrowed leg arteries reduce blood flow, typically in adults over 65, causing exertional leg pain that improves with rest and progressing in severe cases to rest pain, ulcers, gangrene, and amputation risk. Key unmet needs include therapies that meaningfully improve walking beyond modest cilostazol gains, bleeding sparing approaches to prevent ischemic events when intensifying antithrombotics, and true limb salvage options for the roughly 20% with critical limb ischemia who are not candidates for revascularization.",Cardiovascular,Cardiovascular,Common,4.107,"- Claudication drug producing large, durable improvements in pain-free and maximal walking distance.
- Bleeding-sparing therapy to reduce MACE/MALE with efficacy comparable to rivaroxaban 2.5 mg BID + aspirin, enabling use in higher-bleeding-risk patients.
- Limb-salvage therapy for “no-option” chronic limb-threatening ischemia patients ineligible for revascularization, improving pain, wound healing, and amputation outcomes.",https://en.wikipedia.org/wiki/Arteriosclerosis_obliterans,https://medlineplus.gov/ency/article/000170.htm,https://platform.opentargets.org/disease/EFO_1000820,https://omim.org/entry/606787,,https://clinicaltrials.gov/search?cond=Arteriosclerosis%20obliterans,,[object Object],[object Object],5,4,3,4,5
vesicoureteral-reflux,Vesicoureteral reflux,"Vesicoureteral reflux is a pediatric urinary tract defect where urine flows backward from the bladder toward the ureters and kidneys, often found after a febrile urinary tract infection and risking recurrent infections and permanent renal scarring that can lead to later hypertension. Care relies on monitoring, long-term low-dose antibiotic prophylaxis and sometimes surgery, but prophylaxis can drive antibiotic resistance and reduces infection recurrence without clearly preventing new scarring, leaving a premium on non-antibiotic prevention, kidney-protective approaches, and lower-burden ways to track renal injury.",Urology,Urology,Common,3.037,"- Non-antibiotic prophylaxis to prevent recurrent febrile/symptomatic UTIs in pediatric post-UTI VUR while avoiding antibiotic-driven resistance
- Renal-protective adjuncts that prevent DMSA-defined new renal scarring (not just fewer UTIs)
- Therapies that drive durable reflux resolution or meaningfully reduce breakthrough febrile UTI in high-risk subgroups (grade III–V and/or BBD)",https://en.wikipedia.org/wiki/Vesicoureteral_reflux,https://medlineplus.gov/ency/article/000459.htm,https://platform.opentargets.org/disease/EFO_0007536,https://omim.org/entry/193000,,https://clinicaltrials.gov/search?cond=Vesicoureteral%20reflux,https://www.kidney.org/,,[object Object],7,2,1,3,3
nephropathy-diabetic,Nephropathy | diabetic,"Diabetic nephropathy is progressive kidney injury from chronic hyperglycemia, where scarring of kidney filtering units causes albumin to leak into urine and a gradual decline in kidney function. It is often silent for years and detected through urine protein and blood kidney function tests, but later leads to fatigue, nausea, edema, shortness of breath, itching, and can progress to dialysis or transplant. Key unmet needs include better detection and treatment for the growing non-albuminuric phenotype and safer, easier-to-use therapies that avoid frequent potassium and kidney function monitoring and exclusion based on hyperkalemia risk.",Nephrology,Nephrology,Common,3.539,"- Add-on renoprotective therapy that further reduces residual risk of kidney failure or sustained ≥40% eGFR decline despite optimized RASi + SGLT2i ± finerenone.
- Potassium-neutral antifibrotic/anti-inflammatory option usable in advanced DKD (including eGFR <20 mL/min/1.73m²) without hyperkalemia-driven exclusions/monitoring burden.
- Therapy proven to slow eGFR decline specifically in non-albuminuric DKD (eGFR decline without albuminuria), a phenotype underrepresented by albuminuria-gated trials.",https://en.wikipedia.org/wiki/Diabetic_nephropathy,https://medlineplus.gov/diabetickidneyproblems.html,https://platform.opentargets.org/disease/EFO_0000401,https://omim.org/entry/612624,,https://clinicaltrials.gov/search?cond=%22Diabetic%20Nephropathy%22%20OR%20%22Diabetic%20Kidney%20Disease%22,https://www.kidney.org/,[object Object],[object Object],6,3,2,3,3
blepharoconjunctivitis,Blepharoconjunctivitis,"Blepharoconjunctivitis is chronic inflammation of the eyelid margins extending to the conjunctiva, causing burning or gritty foreign body sensation, tearing, itching, photophobia, and fluctuating vision, with lid erythema and debris plus conjunctival injection and superficial keratopathy. It is recurrent and can progress to corneal ulceration and scarring with visual impairment. Management relies on long term lid hygiene, while flares often require antibiotics or topical steroids that are limited by resistance, ocular surface toxicity, and risks like infection, cataract, and raised intraocular pressure, creating demand for safer steroid sparing and non antibiotic options including Demodex targeted approaches.",Ophthalmology,Ophthalmology,Common,3.807,"- Durable remission that reduces chronic long-term “maintenance” (hygiene/warm compress) burden
- Steroid-sparing control of eyelid + conjunctival inflammation avoiding IOP/glaucoma and cataract risks
- MGD/rosacea therapies that avoid systemic tetracycline tolerability issues and antibiotic-resistance pressure while improving objective signs/symptoms",https://en.wikipedia.org/wiki/Conjunctivitis,https://medlineplus.gov/pinkeye.html,https://platform.opentargets.org/disease/MONDO_0002307,https://www.omim.org/search?search=Blepharoconjunctivitis,,https://clinicaltrials.gov/search?cond=Blepharoconjunctivitis,https://preventblindness.org/,[object Object],[object Object],7,3,2,3,4
furunculosis,Furunculosis,"Recurrent furunculosis is a deep Staphylococcus aureus hair follicle infection that forms painful boils and abscesses on hair bearing skin, often in friction areas like armpits, buttocks, and thighs, and it persists through colonization and household spread despite treating flares. Prevention relies on burdensome multi step decolonization such as intranasal mupirocin, chlorhexidine washes, and laundering, with variable durability and concern for resistance, creating demand for simpler, longer lasting non mupirocin options.",Dermatology,Dermatology,Uncommon,2.7,"- Durable, household-level *S. aureus* carriage suppression/eradication that lowers boil/SSTI recurrence over months
- Non-mupirocin decolonization active vs mupirocin-resistant *S. aureus* to prevent recurrence without accelerating resistance
- Simpler, safer alternatives to today’s multi-step 5-day decolonization/decontamination regimen with comparable or better recurrence outcomes",https://en.wikipedia.org/wiki/Boil,https://medlineplus.gov/ency/article/001474.htm,https://platform.opentargets.org/disease/HP_0020083,,,https://clinicaltrials.gov/search?cond=Furunculosis,https://mrsasurvivors.org/,,[object Object],7,2,1,3,4
borderline-personality-disorder,Borderline personality disorder,"Borderline personality disorder is a serious mental illness that typically begins in adolescence or early adulthood and is marked by severe emotion dysregulation, impulsivity, unstable self image, and chaotic relationships, often alongside depression, anxiety, post traumatic stress disorder, or substance use. Many patients cycle through crises with recurrent self harm and elevated suicide risk, frequently via medication overdose. Treatment relies on psychotherapy, yet no medicines are regulator approved for the disorder and guidelines discourage drug treatment for core symptoms, leaving a major unmet need for overdose safe, scalable options that reduce self injury and support durable functional recovery.",Psychiatry,Psychiatry,Common,4.744,"- Overdose-safe pharmacotherapy that reduces nonsuicidal self-injury and suicide attempts/overdose-driven crises
- Proven-efficacy medication for core BPD symptoms (beyond short-term adjunct use)
- Therapeutics that drive durable social/vocational functional recovery (not just symptom remission)",https://en.wikipedia.org/wiki/Borderline_personality_disorder,,https://platform.opentargets.org/disease/EFO_0005429,,,https://clinicaltrials.gov/search?cond=Borderline%20Personality%20Disorder,https://bpdalliance.org/,[object Object],,6,5,4,3,5
myocardial-infarction,Myocardial infarction,"Myocardial infarction is an acute blockage of coronary blood flow, often from plaque rupture and clot, causing oxygen deprivation and heart muscle death with chest discomfort, shortness of breath, and radiating upper body pain. Despite rapid reperfusion and secondary prevention, residual injury from coronary microvascular obstruction drives ongoing risk of adverse remodeling, heart failure, and mortality. Escalating antiplatelet intensity is constrained by bleeding, leaving a premium on therapies that protect microcirculation and myocardium while maintaining acceptable safety.",Cardiovascular,Cardiovascular,Common,4.756,"- Adjunct peri-primary-PCI cardioprotection in STEMI to prevent microvascular obstruction/no‑reflow, differentiated on CMR infarct size/MVO/myocardial salvage endpoints.
- Post‑MI remodeling/heart-failure prevention in high-risk survivors (e.g., CKD/diabetes), differentiated by lowering incident HF and HF hospitalizations post-discharge.
- Bleeding-sparing antithrombotic regimens for elderly/high-bleeding-risk ACS/MI patients on prolonged DAPT ± anticoagulation, lowering major bleeding/hospitalizations without increasing ischemic events.",https://en.wikipedia.org/wiki/Myocardial_infarction,https://medlineplus.gov/heartattack.html,https://platform.opentargets.org/disease/EFO_0000612,https://omim.org/entry/608446,,https://clinicaltrials.gov/search?cond=Myocardial%20Infarction,https://mendedhearts.org/,[object Object],[object Object],5,5,4,4,5
carpal-tunnel-syndrome,Carpal tunnel syndrome,"Carpal tunnel syndrome is median nerve compression at the wrist causing numbness and tingling in the thumb to ring fingers that often wakes patients at night and can progress to hand weakness and permanent dysfunction. Current nonoperative care such as splinting and corticosteroid injections is common but typically temporary, with guideline evidence showing no long term benefit, and injections can transiently raise blood glucose in people with diabetes. Surgery helps many but symptoms can recur, often from scarring around the median nerve, leaving demand for more durable non surgical, nerve sparing options.",Orthopedics,Orthopedics,Common,3.162,"- Durable non-surgical therapy delivering ≥12-month sustained symptom + function improvement (e.g., BCTQ-based) for mild–moderate CTS patients avoiding surgery
- Non-steroid local injectate/topical providing steroid-like symptom relief without clinically meaningful post-injection hyperglycemia in diabetics
- Peri-/post-operative anti-fibrotic or anti-scar adjunct to reduce median-nerve scarring and recurrent symptoms/revision after carpal tunnel release",https://en.wikipedia.org/wiki/Carpal_tunnel_syndrome,https://medlineplus.gov/carpaltunnelsyndrome.html,https://platform.opentargets.org/disease/EFO_0004143,https://omim.org/entry/115430,,https://clinicaltrials.gov/search?cond=Carpal%20Tunnel%20Syndrome,,,[object Object],7,2,1,3,3
peripheral-artery-disease,Peripheral artery disease,"Atherosclerotic narrowing of arteries outside the heart that reduces limb blood flow, often in older smokers and patients with diabetes, hypertension, or hyperlipidemia. Many are asymptomatic or develop exertional leg pain that limits function, progressing in severe cases to rest pain, nonhealing ulcers, gangrene, and amputation. Key gaps include safer, bleeding sparing antithrombotic strategies after revascularization, symptom therapies for claudication that are usable in heart failure, and limb salvage options for no option critical limb ischemia when revascularization is not feasible.",Cardiovascular,Cardiovascular,Common,3.554,"- VOYAGER-PAD–level event reduction after LER without increased ISTH major bleeding (bleeding-sparing antithrombotic efficacy).
- Convenient claudication therapy that improves walking distance and is safe in any-severity heart failure (cilostazol-contraindicated) to reduce reliance on intensive SET.
- Limb-salvage pharmacotherapy for “no-option” CLTI (often diabetes/ESRD) that improves wound healing and 1-year amputation-free survival.",https://en.wikipedia.org/wiki/Peripheral_artery_disease,https://medlineplus.gov/peripheralarterialdisease.html,https://platform.opentargets.org/disease/EFO_0004265,https://omim.org/entry/606787,,https://clinicaltrials.gov/search?cond=Peripheral%20Artery%20Disease,https://www.heart.org/,[object Object],[object Object],5,3,2,4,5
